id;baslangic_durak_no;bitis_durak_no;cikis_zaman;varis_zaman;arac_no;ana_hat_no;alt_hat_no
1; ;T10d;2021-06-06 03:05:00;2021-06-06 03:11:00;44;10;0
2;T11a;T12a;2021-06-06 03:09:00;2021-06-06 03:11:00;800;10;0
3; ;T16d;2021-06-06 03:06:00;2021-06-06 03:11:00;53;10;0
4; ;T7a;2021-06-06 03:07:00;2021-06-06 03:12:00;87;10;0
5;T12a;T13a;2021-06-06 03:11:00;2021-06-06 03:13:00;800;10;0
6; ;T3d;2021-06-06 03:08:00;2021-06-06 03:14:00;96;10;0
7; ;T17d;2021-06-06 03:08:00;2021-06-06 03:14:00;54;10;0
8; ;T19d;2021-06-06 03:08:00;2021-06-06 03:14:00;77;10;0
9;T13a;T15a;2021-06-06 03:13:00;2021-06-06 03:16:00;800;10;0
10; ;T10d;2021-06-06 03:11:00;2021-06-06 03:16:00;44;10;0
11;T15a;T16a;2021-06-06 03:16:00;2021-06-06 03:16:00;800;10;0
12; ;T7a;2021-06-06 03:12:00;2021-06-06 03:17:00;87;10;0
13;T16a;T17a;2021-06-06 03:16:00;2021-06-06 03:17:00;800;10;0
14; ;T20a;2021-05-06 02:39:00;2021-06-06 03:18:00;57;10;0
15; ;T16d;2021-06-06 03:11:00;2021-06-06 03:18:00;53;10;0
16;T17a;T18a;2021-06-06 03:17:00;2021-06-06 03:18:00;800;10;0
17; ;T3d;2021-06-06 03:14:00;2021-06-06 03:19:00;96;10;0
18; ;T17d;2021-06-06 03:14:00;2021-06-06 03:19:00;54;10;0
19; ;T19d;2021-06-06 03:14:00;2021-06-06 03:19:00;77;10;0
20;T18a;T19a;2021-06-06 03:18:00;2021-06-06 03:19:00;800;10;0
21; ;T10d;2021-06-06 03:16:00;2021-06-06 03:21:00;44;10;0
22;T19a;T21a;2021-06-06 03:19:00;2021-06-06 03:22:00;800;10;0
23; ;T7a;2021-06-06 03:17:00;2021-06-06 03:22:00;87;10;0
24;T21a;T22a;2021-06-06 03:22:00;2021-06-06 03:23:00;800;10;0
25; ;T20a;2021-06-06 03:18:00;2021-06-06 03:23:00;57;10;0
26; ;T16d;2021-06-06 03:18:00;2021-06-06 03:24:00;53;10;0
27; ;T3a;2021-06-06 03:19:00;2021-06-06 03:24:00;96;10;0
28;T3a;T3d;2021-06-06 03:24:00;2021-06-06 03:24:00;96;10;0
29; ;T17d;2021-06-06 03:19:00;2021-06-06 03:24:00;54;10;0
30; ;T19d;2021-06-06 03:19:00;2021-06-06 03:24:00;77;10;0
31;T22a;T24a;2021-06-06 03:23:00;2021-06-06 03:25:00;800;10;0
32; ;T10d;2021-06-06 03:21:00;2021-06-06 03:26:00;44;10;0
33;T24a;T25a;2021-06-06 03:25:00;2021-06-06 03:27:00;800;10;0
34; ;T7a;2021-06-06 03:22:00;2021-06-06 03:28:00;87;10;0
35;T25a;T26a;2021-06-06 03:27:00;2021-06-06 03:28:00;800;10;0
36; ;T3d;2021-06-06 03:24:00;2021-06-06 03:29:00;96;10;0
37; ;T19d;2021-06-06 03:24:00;2021-06-06 03:29:00;77;10;0
38; ;T17d;2021-06-06 03:24:00;2021-06-06 03:29:00;54;10;0
39; ;T16d;2021-06-06 03:24:00;2021-06-06 03:30:00;53;10;0
40;T26a;T27a;2021-06-06 03:28:00;2021-06-06 03:30:00;800;10;0
41;T27a;T28a;2021-06-06 03:30:00;2021-06-06 03:31:00;800;10;0
42; ;T10d;2021-06-06 03:26:00;2021-06-06 03:32:00;44;10;0
43; ;T7a;2021-06-06 03:28:00;2021-06-06 03:33:00;87;10;0
44;T28a;T30a;2021-06-06 03:31:00;2021-06-06 03:34:00;800;10;0
45; ;T3d;2021-06-06 03:29:00;2021-06-06 03:34:00;96;10;0
46; ;T19d;2021-06-06 03:29:00;2021-06-06 03:34:00;77;10;0
47; ;T17d;2021-06-06 03:29:00;2021-06-06 03:35:00;54;10;0
48; ;T16d;2021-06-06 03:30:00;2021-06-06 03:35:00;53;10;0
49; ;T10d;2021-06-06 03:32:00;2021-06-06 03:37:00;44;10;0
50; ;T7a;2021-06-06 03:33:00;2021-06-06 03:38:00;87;10;0
51;T30a;T31d;2021-06-06 03:34:00;2021-06-06 03:39:00;800;10;0
52; ;T3d;2021-06-06 03:34:00;2021-06-06 03:40:00;96;10;0
53; ;T19d;2021-06-06 03:34:00;2021-06-06 03:40:00;77;10;0
54; ;T17d;2021-06-06 03:35:00;2021-06-06 03:40:00;54;10;0
55; ;T16d;2021-06-06 03:35:00;2021-06-06 03:40:00;53;10;0
56; ;T10d;2021-06-06 03:37:00;2021-06-06 03:42:00;44;10;0
57; ;T7a;2021-06-06 03:38:00;2021-06-06 03:43:00;87;10;0
58; ;T3d;2021-06-06 03:40:00;2021-06-06 03:45:00;96;10;0
59; ;T19d;2021-06-06 03:40:00;2021-06-06 03:45:00;77;10;0
60; ;T17d;2021-06-06 03:40:00;2021-06-06 03:45:00;54;10;0
61; ;T16d;2021-06-06 03:40:00;2021-06-06 03:45:00;53;10;0
62; ;T10d;2021-06-06 03:42:00;2021-06-06 03:47:00;44;10;0
63; ;T7a;2021-06-06 03:43:00;2021-06-06 03:49:00;87;10;0
64; ;T3d;2021-06-06 03:45:00;2021-06-06 03:50:00;96;10;0
65; ;T19d;2021-06-06 03:45:00;2021-06-06 03:50:00;77;10;0
66; ;T17d;2021-06-06 03:45:00;2021-06-06 03:50:00;54;10;0
67; ;T16d;2021-06-06 03:45:00;2021-06-06 03:51:00;53;10;0
68; ;T10d;2021-06-06 03:47:00;2021-06-06 03:53:00;44;10;0
69; ;T7a;2021-06-06 03:49:00;2021-06-06 03:54:00;87;10;0
70; ;T3a;2021-06-06 03:50:00;2021-06-06 03:55:00;96;10;0
71;T3a;T3d;2021-06-06 03:55:00;2021-06-06 03:55:00;96;10;0
72; ;T19d;2021-06-06 03:50:00;2021-06-06 03:55:00;77;10;0
73; ;T17d;2021-06-06 03:50:00;2021-06-06 03:56:00;54;10;0
74; ;T16d;2021-06-06 03:51:00;2021-06-06 03:56:00;53;10;0
75; ;T10d;2021-06-06 03:53:00;2021-06-06 03:59:00;44;10;0
76; ;T7a;2021-06-06 03:54:00;2021-06-06 03:59:00;87;10;0
77; ;T3d;2021-06-06 03:55:00;2021-06-06 04:00:00;96;10;0
78; ;T19d;2021-06-06 03:55:00;2021-06-06 04:01:00;77;10;0
79; ;T17d;2021-06-06 03:56:00;2021-06-06 04:01:00;54;10;0
80; ;T16d;2021-06-06 03:56:00;2021-06-06 04:01:00;53;10;0
81; ;T7a;2021-06-06 03:59:00;2021-06-06 04:04:00;87;10;0
82; ;T10d;2021-06-06 03:59:00;2021-06-06 04:05:00;44;10;0
83; ;T3d;2021-06-06 04:00:00;2021-06-06 04:05:00;96;10;0
84; ;T19d;2021-06-06 04:01:00;2021-06-06 04:06:00;77;10;0
85; ;T17d;2021-06-06 04:01:00;2021-06-06 04:06:00;54;10;0
86; ;T16d;2021-06-06 04:01:00;2021-06-06 04:06:00;53;10;0
87; ;T7a;2021-06-06 04:04:00;2021-06-06 04:10:00;87;10;0
88; ;T3d;2021-06-06 04:05:00;2021-06-06 04:11:00;96;10;0
89; ;T10d;2021-06-06 04:05:00;2021-06-06 04:11:00;44;10;0
90; ;T19d;2021-06-06 04:06:00;2021-06-06 04:11:00;77;10;0
91; ;T17d;2021-06-06 04:06:00;2021-06-06 04:11:00;54;10;0
92; ;T16d;2021-06-06 04:06:00;2021-06-06 04:12:00;53;10;0
93; ;T7a;2021-06-06 04:10:00;2021-06-06 04:15:00;87;10;0
94; ;T3d;2021-06-06 04:11:00;2021-06-06 04:16:00;96;10;0
95; ;T10d;2021-06-06 04:11:00;2021-06-06 04:16:00;44;10;0
96; ;T19d;2021-06-06 04:11:00;2021-06-06 04:16:00;77;10;0
97; ;T17d;2021-06-06 04:11:00;2021-06-06 04:17:00;54;10;0
98; ;T16d;2021-06-06 04:12:00;2021-06-06 04:18:00;53;10;0
99; ;T7a;2021-06-06 04:15:00;2021-06-06 04:20:00;87;10;0
100; ;T3d;2021-06-06 04:16:00;2021-06-06 04:21:00;96;10;0
101; ;T10d;2021-06-06 04:16:00;2021-06-06 04:21:00;44;10;0
102; ;T19d;2021-06-06 04:16:00;2021-06-06 04:22:00;77;10;0
103; ;T17d;2021-06-06 04:17:00;2021-06-06 04:22:00;54;10;0
104; ;T16a;2021-06-06 04:18:00;2021-06-06 04:23:00;53;10;0
105;T16a;T16d;2021-06-06 04:23:00;2021-06-06 04:24:00;53;10;0
106; ;T7a;2021-06-06 04:20:00;2021-06-06 04:25:00;87;10;0
107; ;T3d;2021-06-06 04:21:00;2021-06-06 04:26:00;96;10;0
108; ;T10d;2021-06-06 04:21:00;2021-06-06 04:26:00;44;10;0
109; ;T19d;2021-06-06 04:22:00;2021-06-06 04:27:00;77;10;0
110; ;T17d;2021-06-06 04:22:00;2021-06-06 04:27:00;54;10;0
111; ;T16d;2021-06-06 04:24:00;2021-06-06 04:29:00;53;10;0
112; ;T7a;2021-06-06 04:25:00;2021-06-06 04:31:00;87;10;0
113; ;T3d;2021-06-06 04:26:00;2021-06-06 04:31:00;96;10;0
114; ;T10d;2021-06-06 04:26:00;2021-06-06 04:31:00;44;10;0
115; ;T19d;2021-06-06 04:27:00;2021-06-06 04:32:00;77;10;0
116; ;T17d;2021-06-06 04:27:00;2021-06-06 04:32:00;54;10;0
117; ;T16d;2021-06-06 04:29:00;2021-06-06 04:34:00;53;10;0
118; ;T3d;2021-06-06 04:31:00;2021-06-06 04:36:00;96;10;0
119; ;T7a;2021-06-06 04:31:00;2021-06-06 04:36:00;87;10;0
120; ;T10d;2021-06-06 04:31:00;2021-06-06 04:37:00;44;10;0
121; ;T19d;2021-06-06 04:32:00;2021-06-06 04:37:00;77;10;0
122; ;T17d;2021-06-06 04:32:00;2021-06-06 04:37:00;54;10;0
123; ;T16d;2021-06-06 04:34:00;2021-06-06 04:39:00;53;10;0
124; ;T3d;2021-06-06 04:36:00;2021-06-06 04:41:00;96;10;0
125; ;T7a;2021-06-06 04:36:00;2021-06-06 04:41:00;87;10;0
126; ;T10d;2021-06-06 04:37:00;2021-06-06 04:42:00;44;10;0
127; ;T19d;2021-06-06 04:37:00;2021-06-06 04:42:00;77;10;0
128; ;T17d;2021-06-06 04:37:00;2021-06-06 04:43:00;54;10;0
129; ;T16d;2021-06-06 04:39:00;2021-06-06 04:45:00;53;10;0
130; ;T3d;2021-06-06 04:41:00;2021-06-06 04:46:00;96;10;0
131; ;T7a;2021-06-06 04:41:00;2021-06-06 04:46:00;87;10;0
132; ;T10d;2021-06-06 04:42:00;2021-06-06 04:47:00;44;10;0
133; ;T19d;2021-06-06 04:42:00;2021-06-06 04:47:00;77;10;0
134; ;T17d;2021-06-06 04:43:00;2021-06-06 04:48:00;54;10;0
135; ;T16d;2021-06-06 04:45:00;2021-06-06 04:50:00;53;10;0
136; ;T3d;2021-06-06 04:46:00;2021-06-06 04:51:00;96;10;0
137; ;T7a;2021-06-06 04:46:00;2021-06-06 04:52:00;87;10;0
138; ;T10d;2021-06-06 04:47:00;2021-06-06 04:52:00;44;10;0
139; ;T19d;2021-06-06 04:47:00;2021-06-06 04:52:00;77;10;0
140; ;T17d;2021-06-06 04:48:00;2021-06-06 04:53:00;54;10;0
141; ;T16d;2021-06-06 04:50:00;2021-06-06 04:55:00;53;10;0
142; ;T3d;2021-06-06 04:51:00;2021-06-06 04:56:00;96;10;0
143; ;T7a;2021-06-06 04:52:00;2021-06-06 04:57:00;87;10;0
144; ;T10d;2021-06-06 04:52:00;2021-06-06 04:58:00;44;10;0
145; ;T19d;2021-06-06 04:52:00;2021-06-06 04:58:00;77;10;0
146; ;T17d;2021-06-06 04:53:00;2021-06-06 04:58:00;54;10;0
147; ;T12d;2021-06-06 01:19:00;2021-06-06 04:59:00;81;10;0
148; ;T4d;2021-06-06 01:34:00;2021-06-06 04:59:00;63;10;0
149; ;T16d;2021-06-06 04:55:00;2021-06-06 05:00:00;53;10;0
150; ;T3d;2021-06-06 04:56:00;2021-06-06 05:01:00;96;10;0
151; ;T7a;2021-06-06 04:57:00;2021-06-06 05:02:00;87;10;0
152; ;T10d;2021-06-06 04:58:00;2021-06-06 05:03:00;44;10;0
153; ;T19d;2021-06-06 04:58:00;2021-06-06 05:03:00;77;10;0
154; ;T17d;2021-06-06 04:58:00;2021-06-06 05:04:00;54;10;0
155; ;T12d;2021-06-06 04:59:00;2021-06-06 05:04:00;81;10;0
156; ;T4a;2021-06-06 04:59:00;2021-06-06 05:04:00;63;10;0
157;T4a;T4d;2021-06-06 05:04:00;2021-06-06 05:04:00;63;10;0
158; ;T16d;2021-06-06 05:00:00;2021-06-06 05:06:00;53;10;0
159; ;T3a;2021-06-06 05:01:00;2021-06-06 05:06:00;96;10;0
160;T3a;T3d;2021-06-06 05:06:00;2021-06-06 05:06:00;96;10;0
161; ;T7a;2021-06-06 05:02:00;2021-06-06 05:07:00;87;10;0
162; ;T19d;2021-06-06 05:03:00;2021-06-06 05:08:00;77;10;0
163; ;T10d;2021-06-06 05:03:00;2021-06-06 05:08:00;44;10;0
164; ;T17d;2021-06-06 05:04:00;2021-06-06 05:09:00;54;10;0
165; ;T12d;2021-06-06 05:04:00;2021-06-06 05:09:00;81;10;0
166; ;T4a;2021-06-06 05:04:00;2021-06-06 05:09:00;63;10;0
167;T4a;T4d;2021-06-06 05:09:00;2021-06-06 05:09:00;63;10;0
168; ;T16d;2021-06-06 05:06:00;2021-06-06 05:11:00;53;10;0
169; ;T3a;2021-06-06 05:06:00;2021-06-06 05:12:00;96;10;0
170;T3a;T3d;2021-06-06 05:12:00;2021-06-06 05:12:00;96;10;0
171; ;T7a;2021-06-06 05:07:00;2021-06-06 05:13:00;87;10;0
172; ;T19d;2021-06-06 05:08:00;2021-06-06 05:13:00;77;10;0
173; ;T10d;2021-06-06 05:08:00;2021-06-06 05:13:00;44;10;0
174; ;T17d;2021-06-06 05:09:00;2021-06-06 05:14:00;54;10;0
175; ;T12a;2021-06-06 05:09:00;2021-06-06 05:14:00;81;10;0
176; ;T4a;2021-06-06 05:09:00;2021-06-06 05:15:00;63;10;0
177;T12a;T12d;2021-06-06 05:14:00;2021-06-06 05:15:00;81;10;0
178;T4a;T4d;2021-06-06 05:15:00;2021-06-06 05:15:00;63;10;0
179; ;T16d;2021-06-06 05:11:00;2021-06-06 05:16:00;53;10;0
180; ;T3d;2021-06-06 05:12:00;2021-06-06 05:17:00;96;10;0
181; ;T4a;2021-06-06 03:39:00;2021-06-06 05:17:00;800;10;0
182; ;T7a;2021-06-06 05:13:00;2021-06-06 05:18:00;87;10;0
183; ;T19d;2021-06-06 05:13:00;2021-06-06 05:18:00;77;10;0
184; ;T10d;2021-06-06 05:13:00;2021-06-06 05:19:00;44;10;0
185; ;T17d;2021-06-06 05:14:00;2021-06-06 05:19:00;54;10;0
186; ;T12a;2021-06-06 05:15:00;2021-06-06 05:20:00;81;10;0
187; ;T4a;2021-06-06 05:15:00;2021-06-06 05:20:00;63;10;0
188;T4a;T6a;2021-06-06 05:17:00;2021-06-06 05:20:00;800;10;0
189;T12a;T12d;2021-06-06 05:20:00;2021-06-06 05:20:00;81;10;0
190;T4a;T4d;2021-06-06 05:20:00;2021-06-06 05:20:00;63;10;0
191;T6a;T7a;2021-06-06 05:20:00;2021-06-06 05:21:00;800;10;0
192; ;T8a;2021-06-06 01:48:00;2021-06-06 05:21:00;99;10;0
193; ;T16d;2021-06-06 05:16:00;2021-06-06 05:21:00;53;10;0
194; ;T26d;2021-06-06 01:26:00;2021-06-06 05:22:00;97;10;0
195; ;T3d;2021-06-06 05:17:00;2021-06-06 05:22:00;96;10;0
196; ;T19d;2021-06-06 05:18:00;2021-06-06 05:23:00;77;10;0
197;T7a;T10a;2021-06-06 05:21:00;2021-06-06 05:23:00;800;10;0
198; ;T7a;2021-06-06 05:18:00;2021-06-06 05:23:00;87;10;0
199; ;T10d;2021-06-06 05:19:00;2021-06-06 05:24:00;44;10;0
200;T10a;T11a;2021-06-06 05:23:00;2021-06-06 05:24:00;800;10;0
201; ;T17d;2021-06-06 05:19:00;2021-06-06 05:25:00;54;10;0
202; ;T12d;2021-06-06 05:20:00;2021-06-06 05:25:00;81;10;0
203; ;T4d;2021-06-06 05:20:00;2021-06-06 05:25:00;63;10;0
204;T11a;T12a;2021-06-06 05:24:00;2021-06-06 05:26:00;800;10;0
205; ;T5d;2021-06-06 01:17:00;2021-06-06 05:26:00;50;10;0
206; ;T13d;2021-06-06 01:36:00;2021-06-06 05:26:00;78;10;0
207;T12a;T13a;2021-06-06 05:26:00;2021-06-06 05:26:00;800;10;0
208; ;T16d;2021-06-06 05:21:00;2021-06-06 05:27:00;53;10;0
209; ;T3d;2021-06-06 05:22:00;2021-06-06 05:27:00;96;10;0
210; ;T26d;2021-06-06 05:22:00;2021-06-06 05:27:00;97;10;0
211; ;T19d;2021-06-06 05:23:00;2021-06-06 05:28:00;77;10;0
212; ;T7a;2021-06-06 05:23:00;2021-06-06 05:28:00;87;10;0
213; ;T8a;2021-06-06 05:21:00;2021-06-06 05:29:00;99;10;0
214; ;T10d;2021-06-06 05:24:00;2021-06-06 05:29:00;44;10;0
215; ;T22d;2021-06-06 01:27:00;2021-06-06 05:29:00;60;10;0
216; ;T17d;2021-06-06 05:25:00;2021-06-06 05:30:00;54;10;0
217;T13a;T15a;2021-06-06 05:26:00;2021-06-06 05:30:00;800;10;0
218; ;T4d;2021-06-06 05:25:00;2021-06-06 05:30:00;63;10;0
219; ;T12d;2021-06-06 05:25:00;2021-06-06 05:30:00;81;10;0
220;T15a;T16a;2021-06-06 05:30:00;2021-06-06 05:30:00;800;10;0
221; ;T28a;2021-05-06 20:35:00;2021-06-06 05:31:00;75;10;0
222; ;T5d;2021-06-06 05:26:00;2021-06-06 05:31:00;50;10;0
223;T16a;T17a;2021-06-06 05:30:00;2021-06-06 05:31:00;800;10;0
224; ;T24a;2021-06-06 01:35:00;2021-06-06 05:32:00;92;10;0
225; ;T16a;2021-06-06 05:27:00;2021-06-06 05:32:00;53;10;0
226; ;T26d;2021-06-06 00:26:00;2021-06-06 05:32:00;98;10;0
227;T16a;T16d;2021-06-06 05:32:00;2021-06-06 05:32:00;53;10;0
228;T17a;T18a;2021-06-06 05:31:00;2021-06-06 05:32:00;800;10;0
229; ;T3d;2021-06-06 05:27:00;2021-06-06 05:33:00;96;10;0
230; ;T26d;2021-06-06 05:27:00;2021-06-06 05:33:00;97;10;0
231;T18a;T19a;2021-06-06 05:32:00;2021-06-06 05:33:00;800;10;0
232; ;T19d;2021-06-06 05:28:00;2021-06-06 05:33:00;77;10;0
233; ;T7a;2021-06-06 05:28:00;2021-06-06 05:34:00;87;10;0
234; ;T2d;2021-06-06 01:20:00;2021-06-06 05:34:00;70;10;0
235; ;T13d;2021-06-06 05:26:00;2021-06-06 05:34:00;78;10;0
236; ;T10d;2021-06-06 05:29:00;2021-06-06 05:34:00;44;10;0
237; ;T17d;2021-06-06 05:30:00;2021-06-06 05:35:00;54;10;0
238; ;T22d;2021-06-06 05:29:00;2021-06-06 05:35:00;60;10;0
239; ;T8a;2021-06-06 05:29:00;2021-06-06 05:35:00;99;10;0
240; ;T4a;2021-06-06 05:30:00;2021-06-06 05:35:00;63;10;0
241;T4a;T4d;2021-06-06 05:35:00;2021-06-06 05:35:00;63;10;0
242; ;T28a;2021-06-06 05:31:00;2021-06-06 05:36:00;75;10;0
243; ;T12d;2021-06-06 05:30:00;2021-06-06 05:36:00;81;10;0
244; ;T27d;2021-06-06 01:32:00;2021-06-06 05:36:00;85;10;0
245; ;T5d;2021-06-06 05:31:00;2021-06-06 05:36:00;50;10;0
246; ;T24a;2021-06-06 05:32:00;2021-06-06 05:37:00;92;10;0
247; ;T16d;2021-06-06 05:32:00;2021-06-06 05:37:00;53;10;0
248; ;T3a;2021-06-06 05:33:00;2021-06-06 05:38:00;96;10;0
249;T3a;T3d;2021-06-06 05:38:00;2021-06-06 05:38:00;96;10;0
250; ;T26d;2021-06-06 05:33:00;2021-06-06 05:38:00;97;10;0
251; ;T6d;2021-06-06 01:28:00;2021-06-06 05:38:00;47;10;0
252; ;T19d;2021-06-06 05:33:00;2021-06-06 05:38:00;77;10;0
253; ;T30a;2021-06-06 01:36:00;2021-06-06 05:39:00;90;10;0
254; ;T7a;2021-06-06 05:34:00;2021-06-06 05:39:00;87;10;0
255; ;T2d;2021-06-06 05:34:00;2021-06-06 05:39:00;70;10;0
256; ;T13d;2021-06-06 05:34:00;2021-06-06 05:39:00;78;10;0
257; ;T10d;2021-06-06 05:34:00;2021-06-06 05:39:00;44;10;0
258;T8a;T8d;2021-06-06 05:35:00;2021-06-06 05:39:00;99;10;0
259; ;T17d;2021-06-06 05:35:00;2021-06-06 05:40:00;54;10;0
260; ;T22d;2021-06-06 05:35:00;2021-06-06 05:40:00;60;10;0
261; ;T25a;2021-06-06 05:33:00;2021-06-06 05:40:00;800;10;0
262; ;T4a;2021-06-06 05:35:00;2021-06-06 05:40:00;63;10;0
263; ;T27d;2021-06-06 05:36:00;2021-06-06 05:41:00;85;10;0
264; ;T12a;2021-06-06 05:36:00;2021-06-06 05:41:00;81;10;0
265;T25a;T26a;2021-06-06 05:40:00;2021-06-06 05:41:00;800;10;0
266; ;T13a;2021-04-06 20:19:00;2021-06-06 05:41:00;148;10;0
267;T12a;T12d;2021-06-06 05:41:00;2021-06-06 05:41:00;81;10;0
268; ;T5d;2021-06-06 05:36:00;2021-06-06 05:42:00;50;10;0
269;T4a;T4d;2021-06-06 05:40:00;2021-06-06 05:42:00;63;10;0
270; ;T24a;2021-06-06 05:37:00;2021-06-06 05:42:00;92;10;0
271; ;T16d;2021-06-06 05:37:00;2021-06-06 05:42:00;53;10;0
272; ;T3d;2021-06-06 05:38:00;2021-06-06 05:43:00;96;10;0
273; ;T26d;2021-06-06 05:38:00;2021-06-06 05:43:00;97;10;0
274;T26a;T27a;2021-06-06 05:41:00;2021-06-06 05:43:00;800;10;0
275; ;T19d;2021-06-06 05:38:00;2021-06-06 05:43:00;77;10;0
276; ;T30a;2021-06-06 05:39:00;2021-06-06 05:44:00;90;10;0
277;T13a;T15a;2021-06-06 05:41:00;2021-06-06 05:44:00;148;10;0
278; ;T2d;2021-06-06 05:39:00;2021-06-06 05:44:00;70;10;0
279; ;T7a;2021-06-06 05:39:00;2021-06-06 05:44:00;87;10;0
280; ;T10d;2021-06-06 05:39:00;2021-06-06 05:44:00;44;10;0
281; ;T13d;2021-06-06 05:39:00;2021-06-06 05:44:00;78;10;0
282; ;T8a;2021-06-06 05:39:00;2021-06-06 05:45:00;99;10;0
283;T8a;T8d;2021-06-06 05:45:00;2021-06-06 05:45:00;99;10;0
284; ;T28a;2021-06-06 05:36:00;2021-06-06 05:45:00;75;10;0
285; ;T17d;2021-06-06 05:40:00;2021-06-06 05:45:00;54;10;0
286;T15a;T16a;2021-06-06 05:44:00;2021-06-06 05:45:00;148;10;0
287; ;T22d;2021-06-06 05:40:00;2021-06-06 05:45:00;60;10;0
288;T27a;T28a;2021-06-06 05:43:00;2021-06-06 05:46:00;800;10;0
289;T16a;T17a;2021-06-06 05:45:00;2021-06-06 05:46:00;148;10;0
290; ;T27d;2021-06-06 05:41:00;2021-06-06 05:46:00;85;10;0
291; ;T12a;2021-06-06 05:41:00;2021-06-06 05:47:00;81;10;0
292; ;T5d;2021-06-06 05:42:00;2021-06-06 05:47:00;50;10;0
293; ;T4a;2021-06-06 05:42:00;2021-06-06 05:47:00;63;10;0
294;T4a;T4d;2021-06-06 05:47:00;2021-06-06 05:47:00;63;10;0
295; ;T24a;2021-06-06 05:42:00;2021-06-06 05:47:00;92;10;0
296;T12a;T12d;2021-06-06 05:47:00;2021-06-06 05:47:00;81;10;0
297; ;T16d;2021-06-06 05:42:00;2021-06-06 05:48:00;53;10;0
298; ;T9d;2021-06-06 01:51:00;2021-06-06 05:48:00;66;10;0
299;T17a;T18a;2021-06-06 05:46:00;2021-06-06 05:48:00;148;10;0
300; ;T26d;2021-06-06 05:43:00;2021-06-06 05:48:00;97;10;0
301; ;T3d;2021-06-06 05:43:00;2021-06-06 05:48:00;96;10;0
302;T28a;T30a;2021-06-06 05:46:00;2021-06-06 05:48:00;800;10;0
303; ;T6d;2021-06-06 05:38:00;2021-06-06 05:49:00;47;10;0
304; ;T19d;2021-06-06 05:43:00;2021-06-06 05:49:00;77;10;0
305; ;T30a;2021-06-06 05:44:00;2021-06-06 05:49:00;90;10;0
306;T18a;T19a;2021-06-06 05:48:00;2021-06-06 05:49:00;148;10;0
307; ;T2d;2021-06-06 05:44:00;2021-06-06 05:49:00;70;10;0
308; ;T7a;2021-06-06 05:44:00;2021-06-06 05:49:00;87;10;0
309; ;T13a;2021-06-06 05:44:00;2021-06-06 05:50:00;78;10;0
310; ;T10d;2021-06-06 05:44:00;2021-06-06 05:50:00;44;10;0
311;T13a;T13d;2021-06-06 05:50:00;2021-06-06 05:50:00;78;10;0
312; ;T8a;2021-06-06 05:45:00;2021-06-06 05:50:00;99;10;0
313; ;T17d;2021-06-06 05:45:00;2021-06-06 05:50:00;54;10;0
314; ;T28a;2021-06-06 05:45:00;2021-06-06 05:50:00;75;10;0
315; ;T1a;2021-05-06 22:16:00;2021-06-06 05:50:00;108;10;0
316; ;T22a;2021-06-06 05:45:00;2021-06-06 05:50:00;60;10;0
317;T8a;T8d;2021-06-06 05:50:00;2021-06-06 05:51:00;99;10;0
318;T22a;T22d;2021-06-06 05:50:00;2021-06-06 05:51:00;60;10;0
319;T30a;T31d;2021-06-06 05:48:00;2021-06-06 05:51:00;800;10;0
320; ;T18a;2021-06-06 01:25:00;2021-06-06 05:51:00;49;10;0
321;T19a;T20a;2021-06-06 05:49:00;2021-06-06 05:52:00;148;10;0
322; ;T27d;2021-06-06 05:46:00;2021-06-06 05:52:00;85;10;0
323; ;T5d;2021-06-06 05:47:00;2021-06-06 05:52:00;50;10;0
324; ;T4a;2021-06-06 05:47:00;2021-06-06 05:52:00;63;10;0
325; ;T2a;2021-05-06 22:15:00;2021-06-06 05:52:00;107;10;0
326;T1a;T2a;2021-06-06 05:50:00;2021-06-06 05:52:00;108;10;0
327; ;T12a;2021-06-06 05:47:00;2021-06-06 05:53:00;81;10;0
328; ;T9a;2021-06-06 05:48:00;2021-06-06 05:53:00;66;10;0
329; ;T16d;2021-06-06 05:48:00;2021-06-06 05:53:00;53;10;0
330;T4a;T4d;2021-06-06 05:52:00;2021-06-06 05:53:00;63;10;0
331;T2a;T3a;2021-06-06 05:52:00;2021-06-06 05:53:00;107;10;0
332;T2a;T3a;2021-06-06 05:52:00;2021-06-06 05:53:00;108;10;0
333;T20a;T21a;2021-06-06 05:52:00;2021-06-06 05:53:00;148;10;0
334; ;T24a;2021-06-06 05:47:00;2021-06-06 05:53:00;92;10;0
335; ;T26d;2021-06-06 05:48:00;2021-06-06 05:54:00;97;10;0
336; ;T3d;2021-06-06 05:48:00;2021-06-06 05:54:00;96;10;0
337; ;T1d;2021-05-06 20:50:00;2021-06-06 05:54:00;156;10;0
338; ;T19d;2021-06-06 05:49:00;2021-06-06 05:54:00;77;10;0
339; ;T6d;2021-06-06 05:49:00;2021-06-06 05:54:00;47;10;0
340; ;T30a;2021-06-06 05:49:00;2021-06-06 05:54:00;90;10;0
341;T9a;T9d;2021-06-06 05:53:00;2021-06-06 05:54:00;66;10;0
342; ;T2d;2021-06-06 05:49:00;2021-06-06 05:55:00;70;10;0
343; ;T10d;2021-06-06 05:50:00;2021-06-06 05:55:00;44;10;0
344; ;T7a;2021-06-06 05:49:00;2021-06-06 05:55:00;87;10;0
345;T3a;T4a;2021-06-06 05:53:00;2021-06-06 05:55:00;107;10;0
